Constituency,Constituency Code,Conservative,Labour,Liberal Democrat,Reform UK,The Green Party,Scottish National Party (SNP),Plaid Cymru,Other,GE 2019 Notional Result,Winner,Margin,Change
Dumfries and Galloway,S14000073,31.7%,23.7%,11.7%,4.7%,1.5%,26.6%,0.0%,0.1%,Conservative,Conservative,5.1%,Conservative HOLD
"Dumfriesshire, Clydesdale and Tweeddale",S14000074,35.1%,18.2%,6.7%,8.1%,2.5%,29.3%,0.0%,0.1%,Conservative,Conservative,5.8%,Conservative HOLD
Dundee Central,S14000075,5.6%,34.5%,11.0%,9.4%,0.0%,38.2%,0.0%,1.4%,Scottish National Party (SNP),Scottish National Party (SNP),3.7%,SNP HOLD
Dunfermline and Dollar,S14000076,12.2%,34.0%,6.6%,7.4%,7.8%,29.9%,0.0%,2.2%,Scottish National Party (SNP),Labour,4.0%,Labour GAIN from SNP
Dunstable and Leighton Buzzard,E14001206,31.2%,37.6%,12.2%,13.5%,3.2%,0.0%,0.0%,2.3%,Conservative,Labour,6.3%,Labour GAIN from Conservative
Dwyfor Meirionnydd,W07000096,7.1%,10.0%,1.6%,31.8%,7.8%,0.0%,41.7%,0.0%,Plaid Cymru,Plaid Cymru,9.9%,Plaid Cymru HOLD
Ealing Central and Acton,E14001207,17.2%,48.6%,13.8%,8.8%,8.2%,0.0%,0.0%,3.5%,Labour,Labour,31.4%,Labour HOLD
Ealing North,E14001208,19.7%,54.9%,4.7%,10.2%,6.2%,0.0%,0.0%,4.3%,Labour,Labour,35.2%,Labour HOLD
Ealing Southall,E14001209,14.9%,56.4%,6.2%,8.1%,7.4%,0.0%,0.0%,7.0%,Labour,Labour,41.6%,Labour HOLD
Earley and Woodley,E14001210,30.2%,41.6%,21.2%,0.0%,5.2%,0.0%,0.0%,1.8%,Conservative,Labour,11.4%,Labour GAIN from Conservative
Easington,E14001211,13.3%,46.2%,3.7%,28.1%,4.1%,0.0%,0.0%,4.6%,Labour,Labour,18.1%,Labour HOLD
East Grinstead and Uckfield,E14001212,39.1%,24.3%,23.6%,0.0%,11.5%,0.0%,0.0%,1.5%,Conservative,Conservative,14.9%,Conservative HOLD
East Ham,E14001213,10.6%,65.6%,0.6%,6.7%,5.3%,0.0%,0.0%,11.3%,Labour,Labour,54.3%,Labour HOLD
East Hampshire,E14001214,34.3%,21.2%,25.1%,12.4%,5.9%,0.0%,0.0%,1.0%,Conservative,Conservative,9.2%,Conservative HOLD
East Kilbride and Strathaven,S14000077,9.9%,38.5%,7.9%,11.1%,4.5%,26.6%,0.0%,1.6%,Scottish National Party (SNP),Labour,11.9%,Labour GAIN from SNP
East Renfrewshire,S14000021,18.3%,32.5%,15.6%,2.7%,3.3%,26.4%,0.0%,1.3%,Scottish National Party (SNP),Labour,6.1%,Labour GAIN from SNP
East Surrey,E14001215,35.3%,19.2%,24.8%,13.7%,4.0%,0.0%,0.0%,3.1%,Conservative,Conservative,10.5%,Conservative HOLD
East Thanet,E14001216,26.2%,32.4%,2.0%,24.5%,12.4%,0.0%,0.0%,2.5%,Conservative,Labour,6.2%,Labour GAIN from Conservative
East Wiltshire,E14001217,40.2%,20.3%,15.8%,17.8%,4.4%,0.0%,0.0%,1.6%,Conservative,Conservative,19.9%,Conservative HOLD
East Worthing and Shoreham,E14001218,27.7%,43.5%,4.8%,15.3%,6.3%,0.0%,0.0%,2.4%,Conservative,Labour,15.9%,Labour GAIN from Conservative
Eastbourne,E14001219,24.1%,13.2%,48.6%,10.8%,2.6%,0.0%,0.0%,0.7%,Conservative,Liberal Democrat,24.5%,Liberal Democrat GAIN from Conservative
Eastleigh,E14001220,25.8%,19.4%,41.3%,9.4%,3.2%,0.0%,0.0%,1.0%,Conservative,Liberal Democrat,15.4%,Liberal Democrat GAIN from Conservative
Edinburgh East and Musselburgh,S14000078,6.6%,50.4%,4.0%,5.6%,6.5%,26.3%,0.0%,0.6%,Scottish National Party (SNP),Labour,24.1%,Labour GAIN from SNP
Edinburgh North and Leith,S14000079,10.1%,42.0%,10.9%,3.6%,5.5%,26.9%,0.0%,1.0%,Scottish National Party (SNP),Labour,15.1%,Labour GAIN from SNP
Edinburgh South,S14000080,7.3%,61.2%,8.6%,4.1%,5.0%,11.8%,0.0%,2.0%,Labour,Labour,49.4%,Labour HOLD
Edinburgh South West,S14000081,11.0%,37.5%,5.9%,5.1%,6.6%,32.3%,0.0%,1.5%,Scottish National Party (SNP),Labour,5.2%,Labour GAIN from SNP
Edinburgh West,S14000082,7.7%,20.3%,48.6%,6.7%,4.6%,11.1%,0.0%,1.1%,Liberal Democrat,Liberal Democrat,28.3%,Liberal Democrat HOLD
Edmonton and Winchmore Hill,E14001221,19.1%,54.6%,3.7%,11.4%,6.5%,0.0%,0.0%,4.8%,Labour,Labour,35.5%,Labour HOLD
Ellesmere Port and Bromborough,E14001222,13.2%,61.2%,6.1%,12.5%,5.6%,0.0%,0.0%,1.4%,Labour,Labour,48.0%,Labour HOLD
Eltham and Chislehurst,E14001223,26.1%,45.5%,4.9%,15.0%,6.0%,0.0%,0.0%,2.6%,Conservative,Labour,19.4%,Labour GAIN from Conservative
Ely and East Cambridgeshire,E14001224,27.7%,25.4%,29.2%,12.7%,3.8%,0.0%,0.0%,1.1%,Conservative,Liberal Democrat,1.5%,Liberal Democrat GAIN from Conservative
Enfield North,E14001225,20.7%,53.6%,3.6%,12.3%,6.7%,0.0%,0.0%,3.2%,Labour,Labour,32.9%,Labour HOLD
Epping Forest,E14001226,44.3%,32.7%,12.9%,0.0%,5.6%,0.0%,0.0%,4.5%,Conservative,Conservative,11.6%,Conservative HOLD
Epsom and Ewell,E14001227,32.6%,23.5%,28.9%,8.7%,2.7%,0.0%,0.0%,3.7%,Conservative,Conservative,3.7%,Conservative HOLD
Erewash,E14001228,28.0%,49.7%,0.9%,17.5%,2.4%,0.0%,0.0%,1.5%,Conservative,Labour,21.7%,Labour GAIN from Conservative
Erith and Thamesmead,E14001229,16.4%,57.3%,1.9%,13.4%,6.8%,0.0%,0.0%,4.1%,Labour,Labour,40.9%,Labour HOLD
Esher and Walton,E14001230,26.2%,9.6%,55.4%,6.0%,1.2%,0.0%,0.0%,1.6%,Conservative,Liberal Democrat,29.2%,Liberal Democrat GAIN from Conservative
Exeter,E14001231,14.2%,56.5%,2.0%,10.1%,15.2%,0.0%,0.0%,2.0%,Labour,Labour,41.3%,Labour HOLD
Exmouth and Exeter East,E14001232,28.2%,28.8%,7.6%,24.4%,7.0%,0.0%,0.0%,4.0%,Conservative,Labour,0.6%,Labour GAIN from Conservative
Falkirk,S14000083,11.6%,37.3%,4.3%,7.0%,8.7%,29.3%,0.0%,1.8%,Scottish National Party (SNP),Labour,8.0%,Labour GAIN from SNP
Fareham and Waterlooville,E14001233,33.8%,25.8%,16.6%,17.1%,5.7%,0.0%,0.0%,1.0%,Conservative,Conservative,8.1%,Conservative HOLD
Farnham and Bordon,E14001234,36.4%,18.1%,27.6%,11.6%,3.9%,0.0%,0.0%,2.5%,Conservative,Conservative,8.8%,Conservative HOLD
Faversham and Mid Kent,E14001235,35.1%,26.5%,11.3%,18.9%,6.6%,0.0%,0.0%,1.5%,Conservative,Conservative,8.6%,Conservative HOLD
Feltham and Heston,E14001236,19.5%,51.8%,3.1%,13.4%,7.3%,0.0%,0.0%,4.9%,Labour,Labour,32.3%,Labour HOLD
Filton and Bradley Stoke,E14001237,25.9%,50.2%,8.1%,11.4%,4.5%,0.0%,0.0%,0.0%,Conservative,Labour,24.3%,Labour GAIN from Conservative
Finchley and Golders Green,E14001238,29.7%,31.4%,23.6%,8.1%,3.6%,0.0%,0.0%,3.6%,Conservative,Labour,1.7%,Labour GAIN from Conservative
Folkestone and Hythe,E14001239,30.6%,28.4%,7.2%,21.6%,10.2%,0.0%,0.0%,2.0%,Conservative,Conservative,2.2%,Conservative HOLD
Forest of Dean,E14001240,31.6%,33.0%,2.6%,19.0%,13.8%,0.0%,0.0%,0.0%,Conservative,Labour,1.3%,Labour GAIN from Conservative
Frome and East Somerset,E14001241,21.0%,22.4%,22.4%,17.9%,14.8%,0.0%,0.0%,1.5%,Conservative,Liberal Democrat,0.0%,Liberal Democrat GAIN from Conservative
Fylde,E14001242,26.6%,33.0%,4.9%,14.6%,2.0%,0.0%,0.0%,19.1%,Conservative,Labour,6.4%,Labour GAIN from Conservative
Gainsborough,E14001243,34.9%,29.8%,10.5%,20.0%,3.7%,0.0%,0.0%,1.2%,Conservative,Conservative,5.1%,Conservative HOLD
Gateshead Central and Whickham,E14001244,16.5%,50.0%,11.1%,15.1%,4.7%,0.0%,0.0%,2.6%,Labour,Labour,33.4%,Labour HOLD
Gedling,E14001245,24.8%,57.1%,1.1%,13.0%,1.9%,0.0%,0.0%,2.0%,Conservative,Labour,32.4%,Labour GAIN from Conservative
Gillingham and Rainham,E14001246,32.0%,38.8%,3.9%,19.2%,4.4%,0.0%,0.0%,1.7%,Conservative,Labour,6.8%,Labour GAIN from Conservative
Glasgow East,S14000084,3.8%,57.0%,1.6%,7.1%,7.9%,21.3%,0.0%,1.3%,Scottish National Party (SNP),Labour,35.7%,Labour GAIN from SNP
Glasgow North,S14000085,4.5%,59.1%,4.2%,7.4%,7.0%,16.5%,0.0%,1.2%,Scottish National Party (SNP),Labour,42.7%,Labour GAIN from SNP
Glasgow North East,S14000086,3.1%,58.4%,0.9%,8.8%,9.0%,19.0%,0.0%,0.8%,Scottish National Party (SNP),Labour,39.4%,Labour GAIN from SNP
Glasgow South,S14000087,6.7%,50.2%,5.1%,4.9%,8.1%,22.9%,0.0%,2.1%,Scottish National Party (SNP),Labour,27.3%,Labour GAIN from SNP
Glasgow South West,S14000088,4.9%,54.3%,3.0%,5.7%,6.1%,24.5%,0.0%,1.5%,Scottish National Party (SNP),Labour,29.9%,Labour GAIN from SNP
Glasgow West,S14000089,6.2%,47.7%,4.2%,5.1%,6.3%,28.1%,0.0%,2.4%,Scottish National Party (SNP),Labour,19.6%,Labour GAIN from SNP
Glastonbury and Somerton,E14001247,25.8%,13.7%,35.6%,17.6%,7.3%,0.0%,0.0%,0.0%,Conservative,Liberal Democrat,9.8%,Liberal Democrat GAIN from Conservative
Glenrothes and Mid Fife,S14000090,8.8%,45.5%,2.4%,12.9%,0.0%,30.5%,0.0%,0.0%,Scottish National Party (SNP),Labour,15.0%,Labour GAIN from SNP
Gloucester,E14001248,27.4%,43.6%,8.0%,15.5%,3.8%,0.0%,0.0%,1.7%,Conservative,Labour,16.2%,Labour GAIN from Conservative
Godalming and Ash,E14001249,28.1%,13.8%,43.9%,9.3%,4.0%,0.0%,0.0%,0.9%,Conservative,Liberal Democrat,15.8%,Liberal Democrat GAIN from Conservative
Goole and Pocklington,E14001250,33.8%,35.1%,9.0%,14.2%,5.3%,0.0%,0.0%,2.7%,Conservative,Labour,1.4%,Labour GAIN from Conservative
Gordon and Buchan,S14000091,31.9%,20.5%,10.5%,4.6%,0.0%,32.5%,0.0%,0.0%,Conservative,Scottish National Party (SNP),0.6%,SNP GAIN from Conservative
Gorton and Denton,E14001251,11.3%,61.4%,2.3%,11.6%,6.3%,0.0%,0.0%,7.1%,Labour,Labour,49.7%,Labour HOLD
Gosport,E14001252,36.9%,28.2%,12.1%,18.7%,3.4%,0.0%,0.0%,0.8%,Conservative,Conservative,8.6%,Conservative HOLD
Gower,W07000097,21.8%,41.5%,6.5%,11.0%,10.2%,0.0%,6.9%,2.2%,Labour,Labour,19.8%,Labour HOLD
Grantham and Bourne,E14001253,35.4%,34.1%,4.5%,19.8%,4.5%,0.0%,0.0%,1.7%,Conservative,Conservative,1.4%,Conservative HOLD
Gravesham,E14001254,35.7%,41.0%,3.0%,17.5%,2.9%,0.0%,0.0%,0.0%,Conservative,Labour,5.3%,Labour GAIN from Conservative
Great Grimsby and Cleethorpes,E14001255,25.4%,40.3%,2.7%,23.7%,5.0%,0.0%,0.0%,2.8%,Conservative,Labour,14.9%,Labour GAIN from Conservative
Great Yarmouth,E14001256,28.7%,33.5%,1.7%,26.8%,6.9%,0.0%,0.0%,2.5%,Conservative,Labour,4.8%,Labour GAIN from Conservative
Greenwich and Woolwich,E14001257,14.3%,54.0%,8.5%,8.9%,9.8%,0.0%,0.0%,4.6%,Labour,Labour,39.7%,Labour HOLD
Guildford,E14001258,23.6%,14.9%,48.3%,8.0%,3.3%,0.0%,0.0%,2.0%,Conservative,Liberal Democrat,24.7%,Liberal Democrat GAIN from Conservative
Hackney North and Stoke Newington,E14001259,10.6%,58.3%,4.1%,8.0%,12.2%,0.0%,0.0%,6.7%,Labour,Labour,46.2%,Labour HOLD
Hackney South and Shoreditch,E14001260,8.6%,55.7%,4.9%,7.5%,14.8%,0.0%,0.0%,8.5%,Labour,Labour,41.0%,Labour HOLD
Halesowen,E14001261,33.6%,45.3%,1.5%,16.4%,3.3%,0.0%,0.0%,0.0%,Conservative,Labour,11.7%,Labour GAIN from Conservative
Halifax,E14001262,20.2%,49.0%,3.3%,14.9%,6.8%,0.0%,0.0%,5.8%,Labour,Labour,28.7%,Labour HOLD
Hamble Valley,E14001263,33.8%,23.9%,25.9%,12.0%,3.6%,0.0%,0.0%,0.8%,Conservative,Conservative,7.9%,Conservative HOLD
Hamilton and Clyde Valley,S14000092,13.3%,49.4%,3.8%,7.8%,0.0%,24.6%,0.0%,1.1%,Scottish National Party (SNP),Labour,24.8%,Labour GAIN from SNP
Hammersmith and Chiswick,E14001264,18.2%,52.9%,10.4%,9.1%,5.8%,0.0%,0.0%,3.7%,Labour,Labour,34.7%,Labour HOLD
Hampstead and Highgate,E14001265,16.1%,45.5%,20.9%,7.2%,6.8%,0.0%,0.0%,3.5%,Labour,Labour,24.7%,Labour HOLD
"Harborough, Oadby and Wigston",E14001266,32.2%,36.0%,14.1%,11.9%,4.5%,0.0%,0.0%,1.3%,Conservative,Labour,3.8%,Labour GAIN from Conservative
Harlow,E14001267,30.9%,40.5%,3.2%,18.2%,4.8%,0.0%,0.0%,2.4%,Conservative,Labour,9.6%,Labour GAIN from Conservative
Harpenden and Berkhamsted,E14001268,28.6%,18.1%,34.2%,11.3%,5.7%,0.0%,0.0%,2.2%,Conservative,Liberal Democrat,5.6%,Liberal Democrat GAIN from Conservative
Harrogate and Knaresborough,E14001269,28.2%,19.5%,40.6%,8.2%,2.5%,0.0%,0.0%,1.1%,Conservative,Liberal Democrat,12.4%,Liberal Democrat GAIN from Conservative
Harrow East,E14001270,38.1%,41.2%,3.1%,10.4%,3.2%,0.0%,0.0%,4.0%,Conservative,Labour,3.1%,Labour GAIN from Conservative
Harrow West,E14001271,21.4%,55.8%,4.4%,9.1%,5.0%,0.0%,0.0%,4.4%,Labour,Labour,34.3%,Labour HOLD
Hartlepool,E14001272,17.4%,42.2%,1.3%,32.3%,3.5%,0.0%,0.0%,3.3%,Labour,Labour,9.9%,Labour HOLD
Harwich and North Essex,E14001273,31.7%,34.5%,9.3%,16.4%,8.0%,0.0%,0.0%,0.0%,Conservative,Labour,2.8%,Labour GAIN from Conservative
Hastings and Rye,E14001274,25.4%,37.9%,4.5%,18.0%,10.7%,0.0%,0.0%,3.5%,Conservative,Labour,12.5%,Labour GAIN from Conservative
Havant,E14001275,34.4%,27.7%,10.0%,20.7%,6.4%,0.0%,0.0%,1.0%,Conservative,Conservative,6.7%,Conservative HOLD
Hayes and Harlington,E14001276,19.3%,58.8%,1.2%,13.1%,3.9%,0.0%,0.0%,3.7%,Labour,Labour,39.5%,Labour HOLD
Hazel Grove,E14001277,20.8%,21.3%,38.7%,8.3%,0.9%,0.0%,0.0%,10.0%,Conservative,Liberal Democrat,17.5%,Liberal Democrat GAIN from Conservative
Hemel Hempstead,E14001278,33.0%,37.6%,11.1%,14.1%,4.2%,0.0%,0.0%,0.0%,Conservative,Labour,4.6%,Labour GAIN from Conservative
Hendon,E14001279,30.8%,43.9%,4.0%,10.2%,5.5%,0.0%,0.0%,5.5%,Conservative,Labour,13.1%,Labour GAIN from Conservative
Henley and Thame,E14001280,28.9%,14.2%,39.0%,9.2%,7.7%,0.0%,0.0%,1.0%,Conservative,Liberal Democrat,10.1%,Liberal Democrat GAIN from Conservative
Hereford and South Herefordshire,E14001281,34.0%,24.1%,15.4%,16.7%,8.6%,0.0%,0.0%,1.2%,Conservative,Conservative,9.8%,Conservative HOLD
Herne Bay and Sandwich,E14001282,35.6%,30.5%,5.1%,21.7%,7.1%,0.0%,0.0%,0.0%,Conservative,Conservative,5.1%,Conservative HOLD
Hertford and Stortford,E14001283,30.2%,36.8%,10.1%,12.4%,8.7%,0.0%,0.0%,1.9%,Conservative,Labour,6.6%,Labour GAIN from Conservative
Hertsmere,E14001284,39.3%,33.8%,8.1%,13.3%,3.8%,0.0%,0.0%,1.7%,Conservative,Conservative,5.6%,Conservative HOLD
Hexham,E14001285,34.8%,48.8%,7.7%,0.0%,5.9%,0.0%,0.0%,2.8%,Conservative,Labour,14.0%,Labour GAIN from Conservative
Heywood and Middleton North,E14001286,24.7%,48.7%,1.6%,20.9%,0.0%,0.0%,0.0%,4.2%,Labour,Labour,24.1%,Labour HOLD
High Peak,E14001287,25.1%,56.5%,1.7%,13.8%,3.0%,0.0%,0.0%,0.0%,Conservative,Labour,31.4%,Labour GAIN from Conservative
Hinckley and Bosworth,E14001288,34.4%,27.6%,17.2%,16.2%,3.9%,0.0%,0.0%,0.8%,Conservative,Conservative,6.9%,Conservative HOLD
Hitchin,E14001289,26.4%,35.4%,21.7%,10.8%,3.8%,0.0%,0.0%,1.9%,Conservative,Labour,9.1%,Labour GAIN from Conservative
Holborn and St Pancras,E14001290,11.2%,59.6%,6.9%,7.5%,9.3%,0.0%,0.0%,5.5%,Labour,Labour,48.4%,Labour HOLD
Honiton and Sidmouth,E14001291,26.7%,16.1%,25.6%,23.1%,5.3%,0.0%,0.0%,3.3%,Conservative,Conservative,1.1%,Conservative HOLD
Hornchurch and Upminster,E14001292,39.7%,32.0%,5.1%,15.5%,2.9%,0.0%,0.0%,4.8%,Conservative,Conservative,7.7%,Conservative HOLD
Hornsey and Friern Barnet,E14001293,10.9%,46.3%,23.9%,6.2%,7.2%,0.0%,0.0%,5.5%,Labour,Labour,22.4%,Labour HOLD
Horsham,E14001294,30.0%,22.5%,29.3%,12.0%,5.3%,0.0%,0.0%,1.0%,Conservative,Conservative,0.7%,Conservative HOLD
Houghton and Sunderland South,E14001295,18.0%,48.4%,4.5%,25.3%,3.8%,0.0%,0.0%,0.0%,Labour,Labour,23.1%,Labour HOLD
Hove and Portslade,E14001296,15.4%,54.3%,6.6%,10.6%,8.4%,0.0%,0.0%,4.7%,Labour,Labour,38.9%,Labour HOLD
Huddersfield,E14001297,19.1%,56.3%,2.8%,11.8%,10.1%,0.0%,0.0%,0.0%,Labour,Labour,37.2%,Labour HOLD
Huntingdon,E14001298,31.2%,33.4%,11.7%,15.7%,6.0%,0.0%,0.0%,1.9%,Conservative,Labour,2.2%,Labour GAIN from Conservative
Hyndburn,E14001299,22.7%,50.8%,1.6%,20.4%,4.5%,0.0%,0.0%,0.0%,Conservative,Labour,28.1%,Labour GAIN from Conservative
Ilford North,E14001300,21.9%,53.2%,2.2%,10.5%,4.8%,0.0%,0.0%,7.5%,Labour,Labour,31.3%,Labour HOLD
Ilford South,E14001301,13.8%,56.5%,1.3%,9.5%,4.9%,0.0%,0.0%,14.1%,Labour,Labour,42.4%,Labour HOLD
Inverclyde and Renfrewshire West,S14000093,8.6%,36.9%,8.4%,8.0%,4.2%,30.0%,0.0%,4.1%,Scottish National Party (SNP),Labour,7.0%,Labour GAIN from SNP
"Inverness, Skye and West Ross-shire",S14000094,14.7%,24.5%,25.5%,3.8%,2.5%,28.0%,0.0%,1.1%,Scottish National Party (SNP),Scottish National Party (SNP),2.6%,SNP HOLD
Ipswich,E14001302,24.2%,51.9%,2.5%,15.2%,4.0%,0.0%,0.0%,2.2%,Conservative,Labour,27.7%,Labour GAIN from Conservative
Isle of Wight East,E14001303,30.9%,25.5%,4.0%,22.8%,11.9%,0.0%,0.0%,4.9%,Conservative,Conservative,5.4%,Conservative HOLD
Isle of Wight West,E14001304,30.7%,29.0%,2.9%,20.6%,14.4%,0.0%,0.0%,2.5%,Conservative,Conservative,1.7%,Conservative HOLD
Islington North,E14001305,6.3%,37.4%,4.0%,4.7%,4.2%,0.0%,0.0%,43.4%,Labour,Other,6.0%,Independent GAIN from Labour
Islington South and Finsbury,E14001306,11.7%,54.8%,12.6%,8.2%,9.2%,0.0%,0.0%,3.5%,Labour,Labour,42.2%,Labour HOLD
Jarrow and Gateshead East,E14001307,13.2%,52.1%,4.2%,22.3%,3.4%,0.0%,0.0%,4.6%,Labour,Labour,29.8%,Labour HOLD
Keighley and Ilkley,E14001308,25.7%,49.4%,1.8%,12.2%,5.5%,0.0%,0.0%,5.2%,Conservative,Labour,23.7%,Labour GAIN from Conservative
Kenilworth and Southam,E14001309,33.7%,29.1%,14.7%,11.6%,10.1%,0.0%,0.0%,0.8%,Conservative,Conservative,4.6%,Conservative HOLD
Kensington and Bayswater,E14001310,26.9%,43.3%,13.4%,8.7%,4.1%,0.0%,0.0%,3.5%,Labour,Labour,16.5%,Labour HOLD
Kettering,E14001311,31.5%,39.2%,3.6%,18.3%,5.5%,0.0%,0.0%,1.9%,Conservative,Labour,7.7%,Labour GAIN from Conservative
Kilmarnock and Loudoun,S14000040,11.7%,35.6%,5.3%,5.9%,4.6%,35.7%,0.0%,1.1%,Scottish National Party (SNP),Scottish National Party (SNP),0.1%,SNP HOLD
Kingston and Surbiton,E14001312,19.3%,18.3%,48.4%,8.9%,3.8%,0.0%,0.0%,1.3%,Liberal Democrat,Liberal Democrat,29.2%,Liberal Democrat HOLD
Kingston upon Hull East,E14001313,15.4%,38.7%,13.3%,24.5%,8.1%,0.0%,0.0%,0.0%,Labour,Labour,14.2%,Labour HOLD
Kingston upon Hull North and Cottingham,E14001314,15.8%,48.4%,9.8%,16.3%,7.3%,0.0%,0.0%,2.5%,Labour,Labour,32.1%,Labour HOLD
Kingston upon Hull West and Haltemprice,E14001315,18.9%,37.4%,16.7%,18.9%,6.4%,0.0%,0.0%,1.7%,Conservative,Labour,18.5%,Labour GAIN from Conservative
Kingswinford and South Staffordshire,E14001316,42.6%,34.1%,3.1%,15.5%,3.6%,0.0%,0.0%,1.0%,Conservative,Conservative,8.6%,Conservative HOLD
Knowsley,E14001317,7.1%,67.6%,1.8%,12.2%,5.6%,0.0%,0.0%,5.7%,Labour,Labour,55.4%,Labour HOLD
Lancaster and Wyre,E14001318,20.8%,49.7%,2.3%,12.1%,15.1%,0.0%,0.0%,0.0%,Conservative,Labour,28.9%,Labour GAIN from Conservative
Leeds Central and Headingley,E14001319,10.9%,66.9%,3.0%,7.2%,9.8%,0.0%,0.0%,2.2%,Labour,Labour,56.1%,Labour HOLD
Leeds East,E14001320,20.6%,48.8%,3.4%,16.0%,5.6%,0.0%,0.0%,5.6%,Labour,Labour,28.2%,Labour HOLD
Leeds North East,E14001321,14.4%,62.5%,5.9%,7.4%,4.3%,0.0%,0.0%,5.5%,Labour,Labour,48.1%,Labour HOLD
Leeds North West,E14001322,25.4%,50.7%,9.5%,7.6%,2.9%,0.0%,0.0%,3.9%,Conservative,Labour,25.3%,Labour GAIN from Conservative
Leeds South,E14001323,16.0%,61.0%,3.2%,0.0%,9.9%,0.0%,0.0%,9.9%,Labour,Labour,45.1%,Labour HOLD
Leeds South West and Morley,E14001324,28.4%,47.2%,2.2%,13.3%,3.0%,0.0%,0.0%,5.9%,Conservative,Labour,18.8%,Labour GAIN from Conservative
Leeds West and Pudsey,E14001325,20.1%,55.0%,1.7%,14.9%,4.7%,0.0%,0.0%,3.6%,Labour,Labour,34.9%,Labour HOLD
Leicester East,E14001326,13.8%,37.2%,0.8%,8.9%,1.7%,0.0%,0.0%,37.6%,Labour,Other,0.4%,Independent GAIN from Labour
Leicester South,E14001327,11.7%,65.3%,1.7%,7.9%,8.0%,0.0%,0.0%,5.5%,Labour,Labour,53.6%,Labour HOLD
Leicester West,E14001328,17.3%,46.4%,5.1%,19.0%,9.6%,0.0%,0.0%,2.6%,Labour,Labour,27.3%,Labour HOLD
Leigh and Atherton,E14001329,23.7%,51.2%,1.6%,17.6%,2.1%,0.0%,0.0%,3.9%,Conservative,Labour,27.5%,Labour GAIN from Conservative
Lewes,E14001330,26.4%,12.0%,44.4%,9.6%,6.4%,0.0%,0.0%,1.2%,Conservative,Liberal Democrat,18.0%,Liberal Democrat GAIN from Conservative
Lewisham East,E14001331,14.2%,57.7%,6.7%,10.3%,6.5%,0.0%,0.0%,4.7%,Labour,Labour,43.6%,Labour HOLD
Lewisham North,E14001332,9.6%,65.2%,5.4%,6.7%,7.8%,0.0%,0.0%,5.4%,Labour,Labour,55.6%,Labour HOLD
Lewisham West and East Dulwich,E14001333,11.6%,58.1%,6.0%,7.9%,10.7%,0.0%,0.0%,5.8%,Labour,Labour,46.6%,Labour HOLD
Leyton and Wanstead,E14001334,13.4%,55.0%,6.2%,8.5%,8.1%,0.0%,0.0%,8.8%,Labour,Labour,41.6%,Labour HOLD
Lichfield,E14001335,35.8%,36.2%,6.3%,16.1%,4.8%,0.0%,0.0%,0.9%,Conservative,Labour,0.4%,Labour GAIN from Conservative
Lincoln,E14001336,24.8%,53.6%,1.5%,15.0%,3.5%,0.0%,0.0%,1.5%,Conservative,Labour,28.8%,Labour GAIN from Conservative
Liverpool Garston,E14001337,9.5%,62.1%,13.4%,8.5%,3.6%,0.0%,0.0%,2.9%,Labour,Labour,48.7%,Labour HOLD
Liverpool Riverside,E14001338,6.7%,74.7%,0.1%,8.2%,6.3%,0.0%,0.0%,4.1%,Labour,Labour,66.6%,Labour HOLD
Liverpool Walton,E14001339,7.5%,70.8%,1.9%,10.7%,2.9%,0.0%,0.0%,6.2%,Labour,Labour,60.1%,Labour HOLD
Liverpool Wavertree,E14001340,8.5%,65.8%,6.8%,6.9%,8.6%,0.0%,0.0%,3.4%,Labour,Labour,57.1%,Labour HOLD
Liverpool West Derby,E14001341,7.5%,69.2%,1.4%,11.5%,4.5%,0.0%,0.0%,6.0%,Labour,Labour,57.7%,Labour HOLD
Livingston,S14000095,8.8%,43.9%,3.2%,8.5%,9.2%,24.4%,0.0%,2.0%,Scottish National Party (SNP),Labour,19.5%,Labour GAIN from SNP
Llanelli,W07000098,12.1%,40.0%,1.3%,29.9%,2.4%,0.0%,14.0%,0.5%,Labour,Labour,10.1%,Labour HOLD
Lothian East,S14000096,15.7%,46.1%,7.6%,5.5%,4.8%,19.9%,0.0%,0.4%,Scottish National Party (SNP),Labour,26.2%,Labour GAIN from SNP
Loughborough,E14001342,26.8%,56.8%,1.9%,10.5%,4.0%,0.0%,0.0%,0.0%,Conservative,Labour,30.1%,Labour GAIN from Conservative
Louth and Horncastle,E14001343,36.3%,25.6%,4.7%,26.1%,4.8%,0.0%,0.0%,2.5%,Conservative,Conservative,10.2%,Conservative HOLD
Lowestoft,E14001344,28.8%,38.7%,3.0%,20.2%,9.2%,0.0%,0.0%,0.0%,Conservative,Labour,9.8%,Labour GAIN from Conservative
Luton North,E14001345,17.6%,52.2%,8.0%,12.3%,5.0%,0.0%,0.0%,5.0%,Labour,Labour,34.6%,Labour HOLD
Luton South and South Bedfordshire,E14001346,17.5%,45.4%,7.0%,15.4%,7.7%,0.0%,0.0%,7.1%,Labour,Labour,27.9%,Labour HOLD
Macclesfield,E14001347,28.6%,48.2%,5.9%,11.2%,4.4%,0.0%,0.0%,1.7%,Conservative,Labour,19.6%,Labour GAIN from Conservative
Maidenhead,E14001348,32.7%,22.9%,37.4%,0.0%,5.5%,0.0%,0.0%,1.5%,Conservative,Liberal Democrat,4.7%,Liberal Democrat GAIN from Conservative
