ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,CON (low),CON (high),LAB (low),LAB (high),LDM (low),LDM (high),RFM (low),RFM (high),GRN (low),GRN (high),SNP (low),SNP (high),PCY (low),PCY (high),OTH (low),OTH (high)
E14001177,Colne Valley,labour,conservative,conservative,27.1%,46.4%,5.6%,17.0%,3.6%,,,0.3%,23.0%,31.1%,40.7%,50.9%,3.7%,8.7%,13.3%,20.5%,2.6%,5.1%,,,,,0.1%,1.1%
E14001178,Congleton,conservative,labour,conservative,35.6%,33.4%,7.8%,17.3%,5.3%,,,0.6%,30.1%,40.8%,28.4%,38.9%,4.9%,12.3%,12.1%,21.2%,3.7%,7.3%,,,,,0.2%,2.4%
E14001179,Corby and East Northamptonshire,labour,conservative,conservative,24.3%,43.8%,7.6%,20.4%,3.6%,,,0.2%,20.5%,27.5%,38.3%,49.0%,4.7%,11.0%,16.5%,24.9%,2.5%,5.2%,,,,,0.0%,0.8%
E14001180,Coventry East,labour,conservative,labour,18.5%,53.8%,5.8%,16.5%,4.9%,,,0.5%,15.2%,21.7%,48.3%,59.2%,3.5%,9.0%,13.2%,20.3%,3.4%,6.8%,,,,,0.1%,1.6%
E14001181,Coventry North West,labour,conservative,labour,23.1%,45.3%,7.0%,19.0%,5.2%,,,0.4%,19.7%,26.6%,40.0%,49.8%,4.4%,10.3%,15.1%,23.1%,3.6%,7.3%,,,,,0.1%,1.5%
E14001182,Coventry South,labour,conservative,labour,23.9%,50.3%,6.7%,13.4%,5.2%,,,0.5%,20.2%,27.4%,45.0%,55.0%,4.5%,10.5%,10.4%,16.5%,3.4%,7.3%,,,,,0.1%,1.6%
E14001183,Cramlington and Killingworth,labour,brexit_party,labour,18.4%,51.0%,4.8%,20.5%,5.1%,,,0.3%,14.8%,21.9%,45.7%,55.6%,3.0%,7.5%,16.5%,24.4%,3.3%,7.1%,,,,,0.1%,1.3%
E14001184,Crawley,labour,conservative,conservative,26.0%,46.3%,6.0%,16.7%,4.5%,,,0.5%,21.9%,29.6%,40.8%,50.9%,3.6%,9.0%,13.4%,21.3%,3.2%,6.0%,,,,,0.1%,1.9%
E14001185,Crewe and Nantwich,labour,conservative,conservative,25.0%,48.0%,4.6%,17.8%,4.5%,,,0.2%,21.3%,29.0%,42.8%,53.3%,2.7%,7.2%,13.5%,21.7%,3.0%,6.5%,,,,,0.0%,0.9%
E14001186,Croydon East,labour,conservative,labour,22.6%,53.0%,5.5%,12.6%,6.3%,,,0.0%,19.1%,26.1%,47.5%,57.7%,3.4%,8.8%,9.1%,15.7%,4.4%,9.6%,,,,,0.0%,0.0%
E14001187,Croydon South,labour,conservative,conservative,32.3%,37.9%,9.6%,13.5%,6.2%,,,0.5%,27.5%,37.0%,32.0%,43.5%,6.0%,14.4%,10.0%,17.3%,4.2%,8.8%,,,,,0.1%,1.9%
E14001188,Croydon West,labour,conservative,labour,10.4%,70.9%,5.6%,7.3%,4.7%,,,1.1%,8.0%,12.8%,66.5%,74.2%,3.7%,8.7%,5.3%,9.3%,3.3%,6.7%,,,,,0.3%,2.9%
E14001189,Dagenham and Rainham,labour,conservative,labour,20.6%,50.4%,6.7%,18.4%,3.5%,,,0.3%,17.4%,23.9%,44.9%,54.7%,4.3%,10.5%,15.0%,22.8%,2.3%,5.3%,,,,,0.1%,1.3%
E14001190,Darlington,labour,conservative,conservative,24.7%,45.4%,4.8%,20.2%,5.0%,,,0.0%,20.7%,27.9%,40.5%,50.5%,2.9%,7.3%,16.6%,23.8%,3.5%,7.3%,,,,,0.0%,0.0%
E14001191,Dartford,labour,conservative,conservative,30.6%,40.6%,8.2%,16.3%,4.3%,,,0.0%,26.4%,34.9%,35.2%,45.0%,5.6%,12.1%,13.3%,19.7%,3.0%,5.9%,,,,,0.0%,0.0%
E14001192,Daventry,conservative,labour,conservative,37.1%,28.8%,9.2%,19.8%,5.0%,,,0.0%,33.0%,42.4%,23.4%,34.2%,5.9%,13.0%,15.3%,23.7%,3.6%,7.1%,,,,,0.0%,0.0%
E14001193,Derby North,labour,conservative,conservative,24.8%,43.3%,8.4%,18.6%,4.8%,,,0.0%,21.1%,28.2%,38.0%,48.5%,5.7%,12.6%,14.9%,22.6%,3.3%,6.9%,,,,,0.0%,0.0%
E14001194,Derby South,labour,conservative,labour,18.2%,57.3%,5.9%,14.2%,3.9%,,,0.5%,15.1%,21.9%,51.9%,61.2%,3.8%,9.1%,11.3%,17.4%,2.7%,5.5%,,,,,0.1%,2.1%
E14001195,Derbyshire Dales,labour,conservative,conservative,31.0%,37.2%,8.2%,17.6%,5.8%,,,0.3%,26.1%,35.7%,30.7%,42.7%,5.6%,11.7%,13.4%,22.7%,3.8%,8.2%,,,,,0.0%,1.1%
E14001196,Dewsbury and Batley,labour,conservative,labour,13.8%,60.8%,4.3%,13.8%,4.9%,,,2.5%,10.8%,16.4%,55.3%,65.5%,2.5%,7.0%,11.0%,16.8%,3.4%,7.2%,,,,,0.9%,6.5%
E14001197,Didcot and Wantage,libdem,conservative,conservative,27.7%,17.6%,35.3%,14.6%,4.4%,,,0.4%,23.3%,31.6%,13.0%,23.5%,29.5%,40.6%,11.1%,18.3%,3.1%,6.7%,,,,,0.1%,1.5%
E14001198,Doncaster Central,labour,brexit_party,labour,18.1%,48.6%,3.6%,24.2%,5.2%,,,0.3%,15.4%,21.0%,44.2%,52.6%,2.4%,5.8%,20.6%,28.0%,3.6%,7.8%,,,,,0.1%,1.2%
E14001199,Doncaster East and the Isle of Axholme,labour,brexit_party,conservative,24.7%,40.4%,4.3%,24.9%,4.5%,,,1.1%,21.0%,28.6%,34.7%,45.1%,2.7%,6.4%,21.2%,28.4%,3.0%,6.3%,,,,,0.3%,3.1%
E14001200,Doncaster North,labour,conservative,labour,20.7%,67.8%,4.4%,0.0%,6.7%,,,0.4%,16.7%,25.1%,61.8%,71.8%,2.7%,7.0%,0.0%,0.0%,4.2%,10.6%,,,,,0.1%,1.4%
E14001201,Dorking and Horley,libdem,conservative,conservative,29.8%,9.3%,40.8%,14.4%,5.7%,,,0.0%,25.3%,33.9%,4.9%,14.3%,34.9%,46.1%,11.1%,18.0%,3.9%,8.1%,,,,,0.0%,0.0%
E14001202,Dover and Deal,labour,conservative,conservative,29.5%,41.2%,5.1%,19.1%,4.8%,,,0.3%,25.3%,33.9%,36.0%,46.1%,3.3%,7.8%,14.4%,22.8%,3.3%,6.6%,,,,,0.1%,1.3%
E14001203,Droitwich and Evesham,conservative,labour,conservative,36.7%,27.5%,12.0%,19.2%,4.4%,,,0.2%,32.0%,41.8%,20.9%,33.6%,8.3%,15.8%,14.8%,23.4%,3.1%,6.3%,,,,,0.0%,0.7%
E14001204,Dudley,labour,conservative,conservative,31.7%,37.6%,4.0%,21.6%,4.8%,,,0.3%,27.8%,35.5%,32.0%,42.1%,2.5%,6.5%,17.4%,26.1%,3.1%,7.1%,,,,,0.1%,1.1%
E14001205,Dulwich and West Norwood,labour,green,labour,8.5%,66.8%,4.2%,5.5%,14.2%,,,0.7%,6.3%,11.1%,62.0%,71.1%,2.6%,7.2%,4.0%,7.2%,10.9%,18.1%,,,,,0.2%,2.7%
E14001206,Dunstable and Leighton Buzzard,labour,conservative,conservative,32.6%,32.7%,11.1%,17.7%,5.5%,,,0.3%,27.3%,37.4%,27.5%,38.2%,7.3%,15.3%,14.2%,21.4%,4.0%,7.7%,,,,,0.1%,1.0%
E14001207,Ealing Central and Acton,labour,conservative,labour,14.0%,59.6%,11.6%,7.2%,7.1%,,,0.5%,11.1%,16.8%,54.5%,64.4%,8.2%,15.7%,5.5%,9.6%,4.5%,10.1%,,,,,0.1%,1.7%
E14001208,Ealing North,labour,conservative,labour,17.4%,63.0%,5.8%,8.5%,5.0%,,,0.4%,14.5%,20.4%,58.2%,67.0%,3.8%,9.4%,6.3%,10.8%,3.6%,7.2%,,,,,0.1%,1.3%
E14001209,Ealing Southall,labour,conservative,labour,11.3%,66.0%,7.7%,7.4%,5.8%,,,1.8%,8.9%,13.8%,61.6%,69.7%,4.9%,11.6%,5.6%,9.1%,3.9%,8.2%,,,,,0.5%,5.0%
E14001210,Earley and Woodley,labour,conservative,conservative,31.5%,43.3%,18.8%,0.0%,6.0%,,,0.4%,26.6%,36.0%,37.6%,49.8%,13.2%,24.1%,0.0%,0.0%,3.9%,8.4%,,,,,0.1%,1.1%
E14001211,Easington,labour,brexit_party,labour,10.2%,52.9%,3.8%,28.2%,4.5%,,,0.4%,7.7%,13.1%,47.6%,56.6%,2.3%,6.0%,24.5%,32.2%,3.0%,6.5%,,,,,0.1%,1.8%
E14001212,East Grinstead and Uckfield,conservative,labour,conservative,37.1%,30.9%,26.3%,0.0%,5.6%,,,0.2%,32.0%,41.9%,24.8%,36.7%,21.0%,32.2%,0.0%,0.0%,3.7%,8.0%,,,,,0.1%,1.0%
E14001213,East Ham,labour,conservative,labour,7.8%,71.2%,6.0%,6.8%,6.6%,,,1.8%,5.7%,10.4%,66.5%,75.1%,3.9%,9.0%,5.1%,8.5%,4.3%,9.4%,,,,,0.5%,4.8%
E14001214,East Hampshire,conservative,labour,conservative,32.1%,24.5%,21.4%,15.7%,6.0%,,,0.3%,27.6%,36.5%,19.1%,30.7%,16.5%,25.7%,11.9%,19.7%,4.2%,8.7%,,,,,0.1%,1.1%
E14001215,East Surrey,conservative,labour,conservative,34.0%,26.1%,16.5%,18.5%,4.4%,,,0.6%,29.2%,38.7%,20.1%,31.9%,12.0%,21.9%,14.6%,22.8%,2.9%,6.3%,,,,,0.2%,2.3%
E14001216,East Thanet,labour,conservative,conservative,26.6%,43.6%,5.2%,18.9%,5.5%,,,0.3%,23.0%,30.0%,38.4%,48.1%,3.3%,7.9%,15.3%,23.4%,3.8%,7.8%,,,,,0.1%,1.0%
E14001217,East Wiltshire,conservative,labour,conservative,35.7%,29.6%,10.2%,19.4%,4.9%,,,0.2%,30.0%,39.8%,22.6%,35.4%,6.9%,14.8%,15.0%,25.3%,3.4%,6.7%,,,,,0.1%,0.9%
E14001218,East Worthing and Shoreham,labour,conservative,conservative,24.6%,47.4%,6.4%,15.0%,6.3%,,,0.4%,21.2%,28.4%,42.3%,52.2%,4.2%,9.6%,11.6%,18.6%,4.4%,8.8%,,,,,0.1%,1.2%
E14001219,Eastbourne,libdem,conservative,conservative,23.5%,6.5%,45.2%,21.6%,3.1%,,,0.2%,19.9%,27.0%,2.2%,11.3%,40.4%,49.9%,17.4%,25.8%,2.1%,4.6%,,,,,0.0%,0.8%
E14001220,Eastleigh,libdem,conservative,conservative,29.2%,15.7%,33.0%,17.9%,4.0%,,,0.2%,24.9%,33.9%,10.7%,21.5%,26.6%,39.2%,14.4%,22.5%,2.9%,5.8%,,,,,0.0%,0.8%
E14001221,Edmonton and Winchmore Hill,labour,conservative,labour,15.6%,63.1%,5.0%,10.6%,5.1%,,,0.6%,12.6%,18.7%,58.5%,67.0%,3.1%,8.2%,8.4%,13.7%,3.5%,7.6%,,,,,0.2%,1.9%
E14001222,Ellesmere Port and Bromborough,labour,brexit_party,labour,11.6%,63.1%,5.6%,15.2%,4.3%,,,0.3%,9.0%,14.3%,58.6%,67.0%,3.4%,8.7%,12.1%,18.5%,2.9%,6.5%,,,,,0.0%,0.9%
E14001223,Eltham and Chislehurst,labour,conservative,conservative,26.0%,46.6%,6.2%,14.5%,6.3%,,,0.4%,22.5%,30.2%,40.9%,51.2%,3.7%,9.1%,11.3%,18.4%,4.2%,8.7%,,,,,0.1%,1.6%
E14001224,Ely and East Cambridgeshire,conservative,labour,conservative,30.9%,25.2%,20.7%,18.5%,3.9%,,,0.9%,26.3%,35.6%,19.4%,31.5%,15.9%,25.5%,14.2%,22.5%,2.9%,5.5%,,,,,0.2%,3.4%
E14001225,Enfield North,labour,conservative,labour,18.1%,56.5%,6.9%,12.0%,6.0%,,,0.5%,15.0%,21.9%,50.9%,60.7%,4.3%,10.6%,9.2%,15.3%,4.2%,8.9%,,,,,0.1%,1.8%
E14001226,Epping Forest,labour,conservative,conservative,39.1%,43.4%,12.1%,0.0%,5.0%,,,0.3%,33.4%,44.5%,37.2%,49.0%,8.0%,17.4%,0.0%,0.0%,3.2%,7.2%,,,,,0.1%,1.1%
E14001227,Epsom and Ewell,conservative,libdem,conservative,32.8%,20.8%,27.0%,14.5%,4.6%,,,0.3%,27.8%,37.5%,15.0%,26.1%,20.6%,34.2%,11.5%,18.5%,3.3%,6.4%,,,,,0.1%,1.1%
E14001228,Erewash,labour,conservative,conservative,26.1%,44.9%,5.2%,19.9%,3.8%,,,0.2%,22.2%,30.3%,39.7%,50.3%,3.4%,8.1%,16.1%,24.4%,2.6%,5.4%,,,,,0.0%,0.8%
E14001229,Erith and Thamesmead,labour,conservative,labour,13.0%,64.0%,6.2%,10.5%,5.3%,,,0.9%,10.3%,15.4%,58.6%,67.7%,4.2%,9.3%,8.4%,13.3%,3.7%,8.0%,,,,,0.2%,3.2%
E14001230,Esher and Walton,libdem,conservative,conservative,29.6%,8.7%,45.5%,12.6%,3.3%,,,0.2%,25.4%,34.2%,4.0%,14.3%,39.6%,50.1%,9.4%,15.9%,2.3%,4.5%,,,,,0.1%,1.1%
E14001231,Exeter,labour,conservative,labour,16.0%,55.1%,4.3%,14.8%,9.5%,,,0.4%,13.3%,19.5%,50.1%,59.3%,2.7%,6.9%,11.8%,18.6%,7.1%,12.2%,,,,,0.1%,1.3%
E14001232,Exmouth and Exeter East,conservative,brexit_party,conservative,29.7%,24.9%,8.1%,27.6%,5.3%,,,4.4%,24.0%,34.0%,16.7%,32.1%,5.0%,12.6%,22.0%,33.3%,3.7%,7.6%,,,,,1.0%,12.7%
E14001233,Fareham and Waterlooville,conservative,labour,conservative,28.8%,24.2%,20.0%,21.5%,5.3%,,,0.2%,24.7%,33.0%,18.8%,29.0%,15.5%,25.1%,17.4%,25.6%,3.8%,7.2%,,,,,0.0%,0.7%
E14001234,Farnham and Bordon,libdem,conservative,conservative,32.2%,11.7%,34.6%,17.0%,4.3%,,,0.2%,27.7%,37.0%,6.5%,17.5%,28.1%,40.3%,13.0%,21.3%,3.1%,6.3%,,,,,0.0%,0.7%
E14001235,Faversham and Mid Kent,labour,conservative,conservative,29.7%,34.6%,7.4%,23.0%,5.0%,,,0.3%,25.4%,34.3%,28.4%,39.9%,5.0%,10.8%,18.5%,28.3%,3.5%,6.8%,,,,,0.1%,1.1%
E14001236,Feltham and Heston,labour,conservative,labour,17.4%,55.7%,6.9%,14.1%,5.3%,,,0.6%,14.1%,20.8%,51.1%,59.8%,4.5%,10.4%,11.3%,17.2%,3.7%,7.5%,,,,,0.1%,2.1%
E14001237,Filton and Bradley Stoke,labour,conservative,conservative,23.7%,49.7%,7.1%,14.9%,4.6%,,,0.0%,19.8%,27.2%,44.6%,55.0%,4.4%,10.4%,11.9%,18.1%,3.5%,6.6%,,,,,0.0%,0.0%
E14001238,Finchley and Golders Green,labour,conservative,conservative,29.9%,34.0%,20.5%,9.0%,5.9%,,,0.7%,25.5%,34.6%,27.1%,39.5%,14.1%,27.0%,6.6%,12.0%,4.0%,9.1%,,,,,0.1%,2.3%
E14001239,Folkestone and Hythe,labour,conservative,conservative,30.2%,35.3%,8.4%,20.3%,5.3%,,,0.4%,25.7%,34.3%,29.8%,41.1%,5.6%,12.1%,15.9%,25.1%,3.9%,7.3%,,,,,0.1%,1.0%
E14001240,Forest of Dean,labour,conservative,conservative,29.1%,39.7%,3.3%,18.6%,8.8%,,,0.4%,25.1%,34.0%,33.5%,45.1%,2.0%,5.9%,13.9%,22.7%,6.6%,12.0%,,,,,0.1%,1.5%
E14001241,Frome and East Somerset,labour,conservative,conservative,25.2%,28.3%,22.9%,16.5%,6.9%,,,0.2%,21.1%,29.6%,22.0%,33.5%,17.7%,27.9%,12.9%,20.8%,5.0%,9.6%,,,,,0.1%,0.7%
E14001242,Fylde,labour,conservative,conservative,31.8%,39.1%,6.4%,16.8%,4.7%,,,1.2%,27.1%,36.5%,32.9%,43.7%,4.4%,9.6%,13.4%,20.9%,3.4%,6.8%,,,,,0.3%,3.8%
E14001243,Gainsborough,conservative,labour,conservative,35.0%,32.6%,7.9%,20.7%,3.4%,,,0.3%,30.7%,39.2%,27.4%,38.2%,5.1%,11.4%,16.7%,25.4%,2.4%,4.9%,,,,,0.1%,1.1%
E14001244,Gateshead Central and Whickham,labour,brexit_party,labour,16.7%,53.1%,7.5%,17.5%,4.9%,,,0.3%,14.1%,19.7%,47.5%,57.3%,5.1%,11.2%,14.0%,21.2%,3.3%,7.0%,,,,,0.1%,0.9%
E14001245,Gedling,labour,conservative,conservative,23.5%,48.1%,6.3%,17.4%,4.5%,,,0.2%,19.8%,26.8%,42.5%,52.6%,4.0%,9.0%,14.1%,21.0%,3.2%,6.6%,,,,,0.1%,1.0%
E14001246,Gillingham and Rainham,labour,conservative,conservative,31.2%,38.3%,4.5%,21.0%,4.7%,,,0.3%,26.8%,35.4%,33.6%,43.5%,2.7%,7.1%,16.5%,25.0%,3.3%,6.7%,,,,,0.1%,1.2%
E14001247,Glastonbury and Somerton,libdem,conservative,conservative,31.9%,7.6%,39.6%,17.0%,3.9%,,,0.0%,27.6%,37.2%,2.9%,12.3%,33.4%,45.6%,13.3%,21.2%,2.5%,5.7%,,,,,0.0%,0.0%
E14001248,Gloucester,labour,conservative,conservative,26.9%,43.5%,7.2%,17.8%,4.5%,,,0.2%,22.6%,30.3%,38.1%,48.4%,4.6%,10.6%,14.5%,22.4%,3.1%,6.1%,,,,,0.1%,1.4%
E14001249,Godalming and Ash,libdem,conservative,conservative,28.1%,10.2%,45.9%,12.0%,3.6%,,,0.2%,24.5%,32.2%,6.1%,15.3%,39.3%,50.8%,8.7%,15.1%,2.6%,5.3%,,,,,0.1%,0.8%
E14001250,Goole and Pocklington,labour,conservative,conservative,31.1%,37.1%,6.4%,21.0%,4.0%,,,0.3%,26.0%,34.7%,31.8%,42.8%,4.0%,9.6%,17.0%,25.6%,2.8%,5.8%,,,,,0.1%,1.0%
E14001251,Gorton and Denton,labour,brexit_party,labour,7.5%,67.7%,6.1%,13.4%,4.7%,,,0.6%,5.6%,9.5%,63.6%,71.1%,3.6%,9.1%,10.8%,16.7%,3.3%,6.7%,,,,,0.1%,1.8%
E14001252,Gosport,conservative,labour,conservative,34.7%,27.1%,11.3%,22.1%,4.4%,,,0.5%,30.4%,39.1%,21.5%,31.7%,7.7%,14.8%,18.0%,26.8%,3.2%,6.4%,,,,,0.1%,1.7%
E14001253,Grantham and Bourne,conservative,labour,conservative,33.4%,29.5%,8.9%,22.4%,5.3%,,,0.4%,28.3%,37.6%,23.5%,35.4%,5.6%,12.4%,18.3%,26.8%,3.6%,7.9%,,,,,0.1%,1.7%
E14001254,Gravesham,labour,conservative,conservative,32.2%,40.3%,5.1%,18.3%,4.2%,,,0.0%,28.2%,36.1%,35.2%,44.8%,3.1%,7.8%,14.3%,23.1%,3.0%,6.0%,,,,,0.0%,0.0%
E14001255,Great Grimsby and Cleethorpes,labour,conservative,conservative,24.4%,45.7%,5.3%,21.0%,3.3%,,,0.3%,20.7%,27.7%,40.9%,50.7%,3.4%,8.3%,16.2%,25.2%,2.4%,4.7%,,,,,0.1%,1.3%
E14001256,Great Yarmouth,labour,conservative,conservative,32.6%,33.1%,4.3%,24.8%,5.0%,,,0.2%,28.8%,36.3%,28.7%,38.6%,3.0%,6.3%,19.7%,28.6%,3.5%,6.9%,,,,,0.0%,0.7%
E14001257,Greenwich and Woolwich,labour,conservative,labour,13.5%,63.3%,9.3%,6.5%,6.7%,,,0.8%,10.7%,16.6%,58.0%,67.3%,6.4%,13.8%,5.0%,8.8%,4.5%,9.4%,,,,,0.2%,2.4%
E14001258,Guildford,libdem,conservative,conservative,25.7%,15.6%,39.4%,14.2%,4.7%,,,0.5%,21.4%,30.0%,10.1%,21.8%,33.3%,45.0%,11.0%,18.9%,3.1%,6.6%,,,,,0.1%,1.8%
E14001259,Hackney North and Stoke Newington,labour,green,labour,7.1%,70.6%,5.8%,5.8%,9.5%,,,1.1%,4.7%,10.1%,64.0%,74.5%,3.6%,10.0%,4.2%,8.0%,6.7%,13.3%,,,,,0.3%,3.6%
E14001260,Hackney South and Shoreditch,labour,green,labour,5.5%,71.8%,5.8%,5.7%,9.8%,,,1.4%,3.4%,7.6%,66.5%,75.9%,3.7%,9.0%,4.3%,7.6%,6.7%,13.0%,,,,,0.4%,4.8%
E14001261,Halesowen,labour,conservative,conservative,31.1%,41.1%,4.6%,18.8%,4.4%,,,0.0%,27.2%,34.7%,35.9%,45.9%,2.9%,7.5%,14.6%,23.3%,3.2%,6.5%,,,,,0.0%,0.0%
E14001262,Halifax,labour,conservative,labour,24.5%,45.0%,6.3%,18.6%,5.1%,,,0.4%,20.7%,28.4%,38.7%,49.7%,4.2%,9.7%,15.2%,22.7%,3.7%,6.9%,,,,,0.1%,1.5%
E14001263,Hamble Valley,conservative,labour,conservative,35.5%,22.8%,16.6%,19.8%,5.1%,,,0.2%,30.7%,40.5%,17.0%,28.7%,10.8%,21.8%,15.4%,24.5%,3.6%,7.2%,,,,,0.0%,0.9%
E14001264,Hammersmith and Chiswick,labour,conservative,labour,16.9%,60.8%,8.7%,7.9%,5.3%,,,0.5%,13.7%,19.6%,56.1%,64.9%,5.5%,12.6%,5.9%,10.3%,3.6%,7.8%,,,,,0.1%,1.9%
E14001265,Hampstead and Highgate,labour,conservative,labour,12.6%,60.6%,11.5%,6.4%,8.4%,,,0.5%,9.6%,15.5%,54.3%,65.8%,7.4%,15.5%,4.7%,8.3%,5.6%,12.0%,,,,,0.1%,2.0%
E14001266,"Harborough, Oadby and Wigston",labour,conservative,conservative,31.1%,38.4%,11.1%,14.6%,4.6%,,,0.3%,26.5%,35.1%,32.6%,44.1%,7.7%,14.9%,11.0%,18.8%,3.1%,6.8%,,,,,0.1%,1.3%
E14001267,Harlow,labour,conservative,conservative,28.6%,40.8%,5.0%,20.9%,4.5%,,,0.2%,24.1%,33.1%,35.0%,46.2%,3.3%,7.5%,17.2%,25.6%,3.1%,6.6%,,,,,0.0%,0.8%
E14001268,Harpenden and Berkhamsted,libdem,conservative,conservative,29.2%,14.2%,37.7%,14.3%,4.1%,,,0.6%,24.5%,35.0%,8.1%,20.7%,30.8%,44.6%,10.5%,18.4%,2.9%,6.0%,,,,,0.2%,2.6%
E14001269,Harrogate and Knaresborough,libdem,conservative,conservative,30.3%,10.8%,41.9%,13.3%,3.4%,,,0.2%,25.3%,34.6%,5.6%,16.4%,36.2%,47.6%,10.1%,17.1%,2.4%,5.6%,,,,,0.1%,0.9%
E14001270,Harrow East,labour,conservative,conservative,32.9%,44.0%,6.9%,11.3%,4.3%,,,0.5%,28.6%,37.3%,39.0%,49.0%,4.3%,10.3%,8.6%,14.4%,2.9%,6.1%,,,,,0.1%,1.9%
E14001271,Harrow West,labour,conservative,labour,19.9%,57.8%,7.8%,8.7%,5.1%,,,0.7%,16.5%,23.1%,52.7%,61.8%,4.8%,11.5%,6.6%,11.2%,3.5%,7.3%,,,,,0.2%,2.8%
E14001272,Hartlepool,labour,brexit_party,labour,12.1%,46.3%,4.2%,33.7%,3.4%,,,0.4%,9.3%,15.3%,41.4%,51.0%,2.6%,6.5%,29.2%,37.6%,2.3%,4.9%,,,,,0.1%,1.3%
E14001273,Harwich and North Essex,labour,conservative,conservative,30.3%,40.4%,7.3%,16.6%,5.3%,,,0.0%,25.7%,34.5%,35.3%,46.4%,4.9%,10.4%,12.5%,20.5%,3.6%,7.3%,,,,,0.0%,0.0%
E14001274,Hastings and Rye,labour,conservative,conservative,24.0%,51.3%,6.3%,14.2%,3.6%,,,0.6%,20.5%,27.2%,46.6%,55.3%,4.4%,9.4%,11.5%,17.5%,2.5%,5.1%,,,,,0.1%,2.1%
E14001275,Havant,conservative,labour,conservative,33.7%,27.8%,10.8%,21.7%,5.3%,,,0.6%,29.0%,38.1%,22.1%,32.6%,7.9%,15.5%,17.0%,27.1%,3.8%,7.4%,,,,,0.1%,1.8%
E14001276,Hayes and Harlington,labour,conservative,labour,17.4%,58.2%,6.3%,12.4%,4.6%,,,1.1%,14.6%,20.6%,52.8%,61.9%,4.1%,10.3%,9.6%,15.4%,3.1%,6.8%,,,,,0.3%,3.2%
E14001277,Hazel Grove,libdem,conservative,conservative,24.1%,20.2%,37.3%,15.0%,3.2%,,,0.2%,20.3%,28.1%,14.8%,25.2%,31.3%,42.9%,11.6%,19.2%,2.3%,4.8%,,,,,0.0%,0.8%
E14001278,Hemel Hempstead,labour,conservative,conservative,27.1%,43.8%,8.8%,16.1%,4.1%,,,0.0%,22.6%,31.7%,38.3%,49.6%,5.5%,13.0%,12.8%,20.4%,2.8%,5.9%,,,,,0.0%,0.0%
E14001279,Hendon,labour,conservative,conservative,28.0%,48.3%,8.2%,10.8%,4.1%,,,0.6%,24.0%,31.6%,42.5%,53.3%,5.5%,12.2%,7.9%,14.0%,2.9%,5.7%,,,,,0.2%,2.0%
E14001280,Henley and Thame,libdem,conservative,conservative,30.5%,8.0%,45.6%,11.6%,4.1%,,,0.2%,25.3%,34.9%,3.5%,13.2%,39.3%,52.3%,8.6%,14.5%,2.9%,6.1%,,,,,0.0%,0.6%
E14001281,Hereford and South Herefordshire,labour,conservative,conservative,30.4%,34.5%,11.3%,18.7%,4.9%,,,0.2%,25.2%,34.4%,28.6%,39.7%,8.0%,15.9%,14.5%,23.4%,3.4%,6.6%,,,,,0.0%,1.0%
E14001282,Herne Bay and Sandwich,conservative,labour,conservative,35.3%,30.3%,10.8%,18.7%,4.9%,,,0.0%,31.1%,39.7%,24.9%,35.8%,7.4%,15.5%,14.2%,22.4%,3.5%,6.8%,,,,,0.0%,0.0%
E14001283,Hertford and Stortford,labour,conservative,conservative,29.5%,35.9%,13.7%,15.5%,5.2%,,,0.3%,25.2%,33.7%,30.2%,41.9%,9.2%,19.0%,11.6%,19.9%,3.5%,7.4%,,,,,0.1%,1.2%
E14001284,Hertsmere,conservative,labour,conservative,38.2%,32.7%,8.3%,16.7%,3.9%,,,0.2%,34.1%,42.5%,27.5%,37.5%,5.6%,11.4%,13.0%,20.9%,2.8%,5.7%,,,,,0.0%,0.8%
E14001285,Hexham,labour,conservative,conservative,33.3%,52.7%,8.2%,0.0%,5.5%,,,0.4%,28.4%,36.8%,47.8%,57.5%,5.5%,11.5%,0.0%,0.0%,3.6%,8.1%,,,,,0.1%,1.3%
E14001286,Heywood and Middleton North,labour,conservative,labour,19.4%,56.9%,3.9%,19.2%,0.0%,,,0.6%,16.0%,23.0%,51.8%,62.0%,2.5%,5.8%,15.3%,23.1%,0.0%,0.0%,,,,,0.1%,2.0%
E14001287,High Peak,labour,conservative,conservative,21.7%,53.9%,5.4%,14.3%,4.7%,,,0.0%,18.3%,25.2%,48.1%,58.8%,3.5%,8.5%,11.2%,18.3%,3.1%,7.1%,,,,,0.0%,0.0%
E14001288,Hinckley and Bosworth,conservative,labour,conservative,32.2%,25.5%,17.4%,19.6%,4.9%,,,0.3%,28.5%,37.2%,19.0%,31.0%,12.6%,22.9%,15.4%,24.4%,3.3%,6.8%,,,,,0.1%,1.0%
E14001289,Hitchin,labour,conservative,conservative,23.9%,41.9%,16.5%,12.1%,5.3%,,,0.3%,20.5%,27.6%,36.3%,47.5%,12.4%,21.2%,9.3%,15.2%,3.7%,7.8%,,,,,0.1%,1.3%
E14001290,Holborn and St Pancras,labour,conservative,labour,9.2%,64.1%,9.1%,7.3%,9.2%,,,1.0%,7.2%,12.0%,58.7%,68.0%,5.8%,13.2%,5.3%,9.4%,6.5%,13.3%,,,,,0.2%,3.0%
