ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,,Margin,,CON (lo),CON (hi),LAB (lo),LAB (hi),LDM (lo),LDM (hi),RFM (lo),RFM (hi),GRN (lo),GRN (hi),SNP (lo),SNP (hi),PCY (lo),PCY (hi),OTH (lo),OTH (hi)
E14001160,Chelsea and Fulham,Labour,Conservatives,Conservatives,32.92%,34.44%,15.02%,10.56%,5.99%,,,1.06%,,1.5%,,29.3%,36.4%,29.3%,39.7%,10.4%,19.3%,8.0%,13.5%,4.1%,8.6%,0.0%,0.0%,,,0.3%,2.7%
E14001161,Cheltenham,Liberal Democrats,Conservatives,Conservatives,30.91%,7.49%,57.85%,0.00%,3.41%,,,0.34%,,26.9%,,26.8%,35.1%,3.1%,11.9%,51.7%,63.6%,0.0%,0.0%,2.3%,5.5%,0.0%,0.0%,,,0.1%,1.5%
E14001162,Chesham and Amersham,Liberal Democrats,Conservatives,Conservatives,33.44%,8.37%,40.43%,13.59%,3.77%,,,0.40%,,7.0%,,29.2%,37.6%,4.4%,12.5%,35.2%,46.5%,10.4%,17.4%,2.4%,5.5%,0.0%,0.0%,,,0.1%,1.3%
E14001163,Chester North and Neston,Labour,Conservatives,Labour,20.28%,56.71%,5.83%,11.99%,5.18%,,,0.00%,,36.4%,,17.1%,23.3%,50.9%,61.0%,3.5%,9.7%,9.6%,15.1%,3.1%,8.4%,0.0%,0.0%,,,0.0%,0.0%
E14001164,Chester South and Eddisbury,Conservatives,Labour,Conservatives,35.59%,33.35%,7.85%,18.95%,3.33%,,,0.93%,,2.2%,,32.4%,39.2%,28.2%,37.7%,5.4%,11.4%,15.4%,22.7%,2.2%,5.1%,0.0%,0.0%,,,0.3%,2.4%
E14001165,Chesterfield,Labour,Reform UK,Labour,15.34%,54.16%,4.91%,20.59%,4.49%,,,0.51%,,33.6%,,12.6%,18.1%,49.1%,58.2%,2.7%,8.0%,16.4%,24.1%,2.7%,7.4%,0.0%,0.0%,,,0.1%,1.7%
E14001166,Chichester,Conservatives,Liberal Democrats,Conservatives,33.54%,12.79%,32.51%,17.58%,3.31%,,,0.27%,,1.0%,,29.4%,37.1%,7.8%,17.0%,27.3%,38.9%,13.5%,21.3%,2.2%,5.2%,0.0%,0.0%,,,0.1%,0.9%
E14001167,Chingford and Woodford Green,Labour,Conservatives,Conservatives,28.49%,46.03%,5.81%,13.88%,4.38%,,,1.41%,,17.5%,,24.7%,32.0%,40.3%,50.0%,3.1%,9.3%,11.0%,17.5%,2.5%,7.5%,0.0%,0.0%,,,0.3%,4.5%
E14001168,Chippenham,Liberal Democrats,Conservatives,Conservatives,31.39%,9.00%,39.28%,16.90%,3.06%,,,0.36%,,7.9%,,27.8%,34.7%,5.3%,12.8%,34.4%,43.7%,13.4%,20.8%,2.1%,4.6%,0.0%,0.0%,,,0.1%,0.9%
E14001169,Chipping Barnet,Labour,Conservatives,Conservatives,30.23%,45.86%,7.42%,10.79%,5.11%,,,0.59%,,15.6%,,26.2%,34.6%,40.7%,50.5%,4.7%,11.0%,8.2%,13.8%,3.3%,7.8%,0.0%,0.0%,,,0.1%,2.3%
E14001171,Christchurch,Conservatives,Reform UK,Conservatives,35.76%,21.44%,14.07%,22.91%,4.97%,,,0.86%,,12.9%,,31.1%,40.5%,15.1%,27.2%,9.5%,18.9%,18.3%,27.1%,3.1%,7.8%,0.0%,0.0%,,,0.2%,3.8%
E14001172,Cities of London and Westminster,Labour,Conservatives,Conservatives,26.84%,38.92%,21.43%,7.12%,5.16%,,,0.52%,,12.1%,,24.2%,29.4%,35.3%,42.5%,18.3%,25.4%,5.5%,9.4%,3.5%,6.9%,0.0%,0.0%,,,0.1%,1.7%
E14001173,City of Durham,Labour,Reform UK,Labour,13.92%,54.40%,8.42%,16.87%,5.66%,,,0.74%,,37.5%,,11.2%,16.7%,48.9%,59.0%,5.1%,12.2%,13.7%,20.6%,3.6%,9.2%,0.0%,0.0%,,,0.1%,2.4%
E14001174,Clacton,Conservatives,Reform UK,Conservatives,35.36%,20.01%,5.17%,33.73%,4.55%,,,1.18%,,1.6%,,31.8%,38.9%,15.4%,23.8%,3.0%,7.9%,29.2%,38.1%,3.1%,6.7%,0.0%,0.0%,,,0.4%,2.8%
E14001175,Clapham and Brixton Hill,Labour,Conservatives,Labour,14.08%,62.41%,9.49%,5.79%,6.52%,,,1.72%,,48.3%,,11.2%,17.5%,56.3%,67.9%,5.2%,14.3%,4.3%,7.7%,3.8%,9.9%,0.0%,0.0%,,,0.4%,4.9%
E14001176,Colchester,Labour,Conservatives,Conservatives,32.31%,37.69%,11.41%,13.55%,4.61%,,,0.43%,,5.4%,,28.2%,36.5%,33.0%,42.6%,7.9%,15.8%,10.9%,17.1%,3.0%,7.1%,0.0%,0.0%,,,0.1%,1.5%
E14001177,Colne Valley,Labour,Conservatives,Conservatives,26.33%,46.23%,6.04%,17.01%,3.99%,,,0.40%,,19.9%,,22.5%,29.9%,41.1%,50.5%,3.4%,9.6%,12.9%,20.4%,2.5%,6.2%,0.0%,0.0%,,,0.1%,1.5%
E14001178,Congleton,Conservatives,Labour,Conservatives,34.62%,33.31%,6.76%,18.77%,4.76%,,,1.78%,,1.3%,,31.1%,37.7%,29.2%,37.2%,4.5%,9.9%,15.6%,22.5%,3.1%,7.1%,0.0%,0.0%,,,0.7%,3.8%
E14001179,Corby and East Northamptonshire,Labour,Conservatives,Conservatives,24.36%,41.44%,5.81%,23.90%,4.16%,,,0.32%,,17.1%,,20.6%,28.3%,35.7%,46.6%,3.6%,9.1%,19.4%,28.8%,2.7%,7.1%,0.0%,0.0%,,,0.1%,1.0%
E14001180,Coventry East,Labour,Reform UK,Labour,16.04%,55.90%,6.05%,16.18%,4.24%,,,1.58%,,39.7%,,13.2%,19.0%,50.7%,59.9%,3.8%,9.2%,12.9%,19.6%,2.7%,6.6%,0.0%,0.0%,,,0.6%,3.9%
E14001181,Coventry North West,Labour,Conservatives,Labour,21.23%,46.84%,8.36%,18.12%,4.89%,,,0.56%,,25.6%,,18.1%,24.3%,41.1%,51.4%,4.8%,12.1%,14.6%,22.1%,3.1%,7.3%,0.0%,0.0%,,,0.1%,2.0%
E14001182,Coventry South,Labour,Conservatives,Labour,24.39%,48.43%,7.23%,13.79%,5.53%,,,0.63%,,24.0%,,20.8%,27.7%,43.8%,52.7%,4.7%,9.9%,10.9%,17.2%,3.6%,8.5%,0.0%,0.0%,,,0.1%,2.4%
E14001183,Cramlington and Killingworth,Labour,Reform UK,Labour,18.06%,51.02%,3.99%,21.54%,4.90%,,,0.49%,,29.5%,,15.5%,21.0%,46.2%,55.4%,2.4%,6.5%,17.5%,25.7%,3.0%,7.2%,0.0%,0.0%,,,0.1%,1.9%
E14001184,Crawley,Labour,Conservatives,Conservatives,27.48%,43.53%,5.90%,17.10%,5.04%,,,0.95%,,16.0%,,23.8%,31.0%,38.5%,47.3%,3.8%,8.8%,13.6%,20.9%,3.3%,7.1%,0.0%,0.0%,,,0.2%,3.1%
E14001185,Crewe and Nantwich,Labour,Conservatives,Conservatives,25.54%,47.93%,3.72%,18.15%,4.34%,,,0.32%,,22.4%,,21.7%,29.8%,43.4%,52.7%,2.2%,6.0%,14.0%,21.5%,2.5%,6.7%,0.0%,0.0%,,,0.1%,1.3%
E14001186,Croydon East,Labour,Conservatives,Labour,22.70%,53.14%,6.83%,12.02%,5.32%,,,0.00%,,30.4%,,19.2%,25.6%,47.9%,57.7%,4.3%,10.8%,8.6%,15.3%,3.5%,7.9%,0.0%,0.0%,,,0.0%,0.0%
E14001187,Croydon South,Labour,Conservatives,Conservatives,31.93%,37.18%,11.09%,13.11%,6.08%,,,0.60%,,5.3%,,27.8%,36.3%,31.2%,42.5%,6.5%,15.8%,9.7%,16.7%,3.6%,9.2%,0.0%,0.0%,,,0.1%,2.8%
E14001188,Croydon West,Labour,Conservatives,Labour,10.33%,71.10%,4.51%,7.41%,5.73%,,,0.93%,,60.8%,,8.3%,12.2%,66.7%,73.6%,2.8%,7.1%,5.5%,9.6%,3.7%,8.5%,0.0%,0.0%,,,0.2%,2.8%
E14001189,Dagenham and Rainham,Labour,Conservatives,Labour,20.62%,50.49%,6.52%,18.25%,3.56%,,,0.57%,,29.9%,,17.7%,23.9%,45.2%,54.5%,3.9%,10.1%,14.8%,22.2%,2.2%,5.4%,0.0%,0.0%,,,0.2%,2.2%
E14001190,Darlington,Labour,Conservatives,Conservatives,25.48%,42.00%,4.41%,21.82%,6.29%,,,0.00%,,16.5%,,22.1%,28.9%,36.5%,46.3%,2.5%,6.9%,17.4%,26.6%,4.4%,9.8%,0.0%,0.0%,,,0.0%,0.0%
E14001191,Dartford,Labour,Conservatives,Conservatives,31.21%,38.38%,8.37%,17.49%,4.54%,,,0.00%,,7.2%,,27.2%,34.8%,33.5%,42.8%,5.7%,12.1%,14.0%,21.9%,2.9%,7.0%,0.0%,0.0%,,,0.0%,0.0%
E14001192,Daventry,Conservatives,Labour,Conservatives,37.43%,28.56%,9.37%,19.89%,4.76%,,,0.00%,,8.9%,,33.1%,42.7%,23.4%,33.9%,5.4%,14.2%,15.4%,25.0%,2.9%,7.1%,0.0%,0.0%,,,0.0%,0.0%
E14001193,Derby North,Labour,Conservatives,Conservatives,23.65%,42.37%,10.09%,19.33%,4.56%,,,0.00%,,18.7%,,20.9%,27.6%,36.3%,47.1%,6.3%,14.1%,15.6%,23.7%,2.6%,7.5%,0.0%,0.0%,,,0.0%,0.0%
E14001194,Derby South,Labour,Conservatives,Labour,18.35%,57.19%,5.20%,14.86%,3.73%,,,0.66%,,38.8%,,15.9%,21.1%,52.4%,60.9%,3.2%,7.8%,12.0%,17.8%,2.5%,5.9%,0.0%,0.0%,,,0.2%,2.4%
E14001195,Derbyshire Dales,Labour,Conservatives,Conservatives,31.87%,35.37%,8.29%,17.79%,6.27%,,,0.41%,,3.5%,,27.8%,36.3%,29.3%,40.1%,4.9%,12.7%,13.9%,22.6%,3.9%,9.6%,0.0%,0.0%,,,0.1%,1.4%
E14001196,Dewsbury and Batley,Labour,Reform UK,Labour,12.99%,59.69%,3.61%,15.85%,4.35%,,,3.52%,,43.8%,,10.6%,15.7%,53.6%,63.4%,2.1%,6.5%,12.7%,19.4%,2.7%,6.7%,0.0%,0.0%,,,1.1%,8.3%
E14001197,Didcot and Wantage,Liberal Democrats,Conservatives,Conservatives,27.97%,16.37%,36.00%,15.37%,3.73%,,,0.56%,,8.0%,,24.4%,31.9%,11.8%,21.0%,30.5%,41.1%,11.8%,19.0%,2.3%,5.7%,0.0%,0.0%,,,0.2%,2.0%
E14001198,Doncaster Central,Labour,Reform UK,Labour,17.97%,47.95%,3.22%,25.75%,4.79%,,,0.32%,,22.2%,,15.6%,20.7%,43.8%,51.9%,1.9%,5.1%,22.3%,29.2%,3.3%,6.9%,0.0%,0.0%,,,0.1%,1.1%
E14001199,Doncaster East and the Isle of Axholme,Labour,Reform UK,Conservatives,24.49%,39.78%,3.15%,27.57%,4.09%,,,0.92%,,12.2%,,21.4%,27.5%,35.6%,44.0%,1.8%,5.0%,23.9%,30.9%,2.8%,6.6%,0.0%,0.0%,,,0.3%,2.4%
E14001200,Doncaster North,Labour,Conservatives,Labour,20.16%,67.70%,3.69%,0.00%,7.71%,,,0.74%,,47.5%,,16.5%,24.0%,62.0%,71.9%,2.2%,6.6%,0.0%,0.0%,4.7%,12.4%,0.0%,0.0%,,,0.2%,2.2%
E14001201,Dorking and Horley,Liberal Democrats,Conservatives,Conservatives,30.27%,5.00%,43.98%,14.63%,6.12%,,,0.00%,,13.7%,,26.4%,33.8%,1.7%,8.6%,39.3%,49.1%,11.5%,17.9%,4.3%,9.3%,0.0%,0.0%,,,0.0%,0.0%
E14001202,Dover and Deal,Labour,Conservatives,Conservatives,28.49%,39.46%,4.63%,22.60%,4.30%,,,0.52%,,11.0%,,25.0%,32.1%,34.8%,43.9%,2.6%,7.6%,18.6%,27.1%,2.9%,6.5%,0.0%,0.0%,,,0.1%,1.8%
E14001203,Droitwich and Evesham,Conservatives,Labour,Conservatives,38.11%,27.97%,10.43%,18.54%,4.61%,,,0.34%,,10.1%,,33.3%,42.5%,22.6%,32.7%,7.1%,14.5%,14.4%,24.0%,2.9%,6.9%,0.0%,0.0%,,,0.1%,1.2%
E14001204,Dudley,Labour,Conservatives,Conservatives,32.69%,34.51%,3.58%,23.87%,4.95%,,,0.41%,,1.8%,,28.4%,36.0%,29.1%,39.1%,2.1%,6.2%,19.3%,28.5%,3.1%,8.2%,0.0%,0.0%,,,0.1%,1.4%
E14001205,Dulwich and West Norwood,Labour,Green Party,Labour,8.59%,65.80%,3.22%,5.76%,15.94%,,,0.69%,,49.9%,,6.5%,11.1%,59.6%,70.3%,1.8%,6.1%,4.3%,7.6%,11.1%,20.9%,0.0%,0.0%,,,0.2%,2.3%
E14001206,Dunstable and Leighton Buzzard,Conservatives,Labour,Conservatives,34.01%,32.97%,12.36%,15.39%,4.98%,,,0.29%,,1.0%,,30.1%,37.6%,28.5%,37.0%,8.8%,16.1%,12.0%,18.6%,3.5%,7.2%,0.0%,0.0%,,,0.1%,1.1%
E14001207,Ealing Central and Acton,Labour,Conservatives,Labour,14.35%,60.25%,10.07%,7.76%,6.96%,,,0.61%,,45.9%,,11.5%,17.2%,54.4%,64.5%,6.0%,14.6%,5.9%,10.1%,4.2%,11.0%,0.0%,0.0%,,,0.1%,2.0%
E14001208,Ealing North,Labour,Conservatives,Labour,17.45%,62.05%,5.83%,8.46%,4.88%,,,1.32%,,44.6%,,14.2%,20.5%,57.1%,65.5%,3.8%,9.0%,6.2%,11.2%,3.2%,7.6%,0.0%,0.0%,,,0.4%,4.3%
E14001209,Ealing Southall,Labour,Conservatives,Labour,12.21%,64.02%,7.04%,7.60%,7.05%,,,2.08%,,51.8%,,9.8%,14.4%,58.9%,68.3%,3.8%,10.9%,5.9%,9.7%,4.7%,10.7%,0.0%,0.0%,,,0.6%,6.1%
E14001210,Earley and Woodley,Labour,Conservatives,Conservatives,32.45%,43.95%,16.70%,0.00%,5.95%,,,0.95%,,11.5%,,27.8%,37.0%,37.2%,49.6%,11.5%,21.1%,0.0%,0.0%,3.5%,9.3%,0.0%,0.0%,,,0.3%,3.6%
E14001211,Easington,Labour,Reform UK,Labour,9.30%,53.30%,2.20%,31.07%,3.66%,,,0.46%,,22.2%,,7.5%,11.4%,49.1%,57.1%,1.4%,3.7%,26.7%,34.2%,2.4%,5.6%,0.0%,0.0%,,,0.1%,1.2%
E14001212,East Grinstead and Uckfield,Conservatives,Liberal Democrats,Conservatives,35.03%,27.88%,31.53%,0.00%,5.24%,,,0.31%,,3.5%,,30.3%,40.0%,22.1%,33.8%,25.2%,36.8%,0.0%,0.0%,3.2%,7.9%,0.0%,0.0%,,,0.1%,1.2%
E14001213,East Ham,Labour,Conservatives,Labour,8.54%,69.72%,5.03%,6.35%,7.08%,,,3.28%,,61.2%,,6.6%,10.8%,64.8%,73.0%,2.9%,8.1%,4.6%,8.2%,4.7%,10.4%,0.0%,0.0%,,,1.4%,7.7%
E14001214,East Hampshire,Conservatives,Labour,Conservatives,33.31%,22.87%,20.89%,15.44%,7.10%,,,0.39%,,10.4%,,28.4%,38.6%,17.2%,28.5%,15.4%,26.4%,11.8%,19.4%,4.6%,10.1%,0.0%,0.0%,,,0.1%,1.4%
E14001215,East Surrey,Conservatives,Labour,Conservatives,35.33%,21.29%,19.11%,19.81%,3.56%,,,0.90%,,14.0%,,30.8%,39.2%,15.6%,27.1%,13.6%,25.0%,16.2%,24.6%,2.2%,5.4%,0.0%,0.0%,,,0.2%,3.3%
E14001216,East Thanet,Labour,Conservatives,Conservatives,26.37%,42.79%,3.66%,22.25%,4.53%,,,0.41%,,16.4%,,23.4%,29.4%,37.7%,46.8%,2.1%,5.6%,18.2%,26.6%,3.1%,6.8%,0.0%,0.0%,,,0.1%,1.5%
E14001217,East Wiltshire,Conservatives,Labour,Conservatives,36.50%,26.62%,9.93%,20.82%,5.75%,,,0.37%,,9.9%,,31.5%,41.2%,20.8%,32.9%,6.1%,14.1%,16.4%,25.7%,3.9%,9.0%,0.0%,0.0%,,,0.1%,1.4%
E14001218,East Worthing and Shoreham,Labour,Conservatives,Conservatives,25.32%,45.44%,4.91%,15.57%,8.32%,,,0.45%,,20.1%,,21.9%,28.4%,40.4%,49.9%,3.0%,7.8%,12.4%,19.4%,5.6%,12.6%,0.0%,0.0%,,,0.1%,1.4%
E14001219,Eastbourne,Liberal Democrats,Conservatives,Conservatives,23.72%,6.99%,45.27%,20.95%,2.72%,,,0.34%,,21.5%,,20.7%,27.3%,3.9%,11.1%,40.2%,49.5%,17.0%,24.7%,1.8%,4.3%,0.0%,0.0%,,,0.1%,1.2%
E14001220,Eastleigh,Liberal Democrats,Conservatives,Conservatives,29.13%,16.58%,33.89%,16.66%,3.51%,,,0.23%,,4.8%,,25.8%,32.8%,12.1%,21.3%,29.4%,38.0%,13.4%,20.3%,2.4%,5.2%,0.0%,0.0%,,,0.0%,0.7%
E14001221,Edmonton and Winchmore Hill,Labour,Conservatives,Labour,15.82%,62.79%,4.76%,10.26%,5.60%,,,0.77%,,47.0%,,13.0%,18.3%,57.9%,66.5%,2.6%,8.3%,7.9%,13.0%,3.5%,8.6%,0.0%,0.0%,,,0.2%,2.2%
E14001222,Ellesmere Port and Bromborough,Labour,Reform UK,Labour,11.83%,60.54%,5.58%,16.62%,5.05%,,,0.38%,,43.9%,,9.2%,14.2%,55.7%,65.1%,3.2%,9.6%,13.3%,20.3%,3.1%,8.3%,0.0%,0.0%,,,0.1%,1.4%
E14001223,Eltham and Chislehurst,Labour,Conservatives,Conservatives,25.42%,48.09%,5.44%,13.98%,6.06%,,,1.02%,,22.7%,,21.6%,28.4%,43.2%,52.3%,3.2%,9.1%,11.1%,17.4%,4.1%,9.0%,0.0%,0.0%,,,0.3%,3.8%
E14001224,Ely and East Cambridgeshire,Conservatives,Liberal Democrats,Conservatives,27.81%,23.00%,24.11%,19.97%,3.71%,,,1.40%,,3.7%,,23.7%,31.5%,17.4%,28.9%,19.0%,29.1%,15.6%,24.8%,2.3%,5.6%,0.0%,0.0%,,,0.4%,4.8%
E14001225,Enfield North,Labour,Conservatives,Labour,18.19%,55.29%,6.58%,12.17%,5.66%,,,2.11%,,37.1%,,15.2%,20.9%,49.6%,59.7%,4.1%,10.0%,9.3%,15.6%,3.8%,8.3%,0.0%,0.0%,,,0.5%,6.8%
E14001226,Epping Forest,Labour,Conservatives,Conservatives,36.16%,45.33%,13.82%,0.00%,4.32%,,,0.38%,,9.2%,,31.6%,40.7%,38.6%,50.7%,9.9%,18.9%,0.0%,0.0%,2.8%,6.8%,0.0%,0.0%,,,0.1%,1.4%
E14001227,Epsom and Ewell,Conservatives,Liberal Democrats,Conservatives,31.81%,21.74%,28.58%,13.91%,3.58%,,,0.38%,,3.2%,,27.8%,35.4%,16.6%,26.5%,23.9%,34.3%,10.8%,17.4%,2.4%,5.4%,0.0%,0.0%,,,0.1%,1.5%
E14001228,Erewash,Labour,Conservatives,Conservatives,27.38%,45.02%,3.84%,19.71%,3.74%,,,0.32%,,17.6%,,23.7%,31.0%,40.2%,49.8%,2.2%,6.5%,15.5%,23.6%,2.5%,6.0%,0.0%,0.0%,,,0.1%,1.4%
E14001229,Erith and Thamesmead,Labour,Conservatives,Labour,11.53%,64.97%,6.40%,11.31%,4.88%,,,0.92%,,53.4%,,9.4%,13.8%,60.5%,68.1%,4.3%,9.5%,9.0%,13.6%,3.3%,7.3%,0.0%,0.0%,,,0.3%,3.1%
E14001230,Esher and Walton,Liberal Democrats,Conservatives,Conservatives,31.26%,7.28%,47.19%,11.07%,2.89%,,,0.31%,,15.9%,,26.9%,35.0%,3.6%,12.3%,42.5%,52.1%,8.4%,13.9%,1.9%,4.6%,0.0%,0.0%,,,0.1%,1.2%
E14001231,Exeter,Labour,Conservatives,Labour,16.91%,51.38%,5.39%,16.63%,9.25%,,,0.43%,,34.5%,,13.8%,19.6%,46.7%,55.0%,3.6%,8.1%,13.5%,20.1%,6.9%,12.4%,0.0%,0.0%,,,0.1%,1.7%
E14001232,Exmouth and Exeter East,Conservatives,Labour,Conservatives,29.57%,29.40%,11.99%,20.85%,7.13%,,,1.05%,,0.2%,,26.1%,32.7%,24.7%,34.4%,8.9%,16.0%,16.5%,25.0%,5.1%,10.1%,0.0%,0.0%,,,0.3%,2.9%
E14001233,Fareham and Waterlooville,Conservatives,Labour,Conservatives,30.94%,22.16%,19.48%,21.60%,5.23%,,,0.59%,,8.8%,,27.4%,34.5%,17.7%,26.4%,16.0%,23.0%,17.9%,24.9%,3.6%,7.0%,0.0%,0.0%,,,0.2%,1.5%
E14001234,Farnham and Bordon,Liberal Democrats,Conservatives,Conservatives,33.69%,9.13%,37.70%,15.51%,3.56%,,,0.41%,,4.0%,,30.0%,37.5%,5.1%,13.8%,32.5%,42.5%,12.5%,19.0%,2.5%,5.5%,0.0%,0.0%,,,0.1%,1.3%
E14001235,Faversham and Mid Kent,Labour,Conservatives,Conservatives,31.19%,34.33%,6.74%,22.87%,4.53%,,,0.33%,,3.1%,,27.5%,34.9%,29.0%,38.9%,4.6%,9.7%,19.0%,27.5%,3.0%,6.4%,0.0%,0.0%,,,0.1%,1.0%
E14001236,Feltham and Heston,Labour,Conservatives,Labour,18.31%,52.73%,8.80%,14.17%,5.05%,,,0.94%,,34.4%,,15.1%,21.2%,46.6%,57.2%,5.9%,12.9%,11.0%,17.9%,3.3%,7.8%,0.0%,0.0%,,,0.2%,3.2%
E14001237,Filton and Bradley Stoke,Labour,Conservatives,Conservatives,24.06%,49.45%,6.18%,15.67%,4.64%,,,0.00%,,25.4%,,20.6%,27.3%,44.5%,53.8%,3.7%,9.3%,12.2%,19.7%,3.2%,6.9%,0.0%,0.0%,,,0.0%,0.0%
E14001238,Finchley and Golders Green,Labour,Conservatives,Conservatives,29.93%,35.10%,18.74%,8.31%,7.39%,,,0.54%,,5.2%,,26.2%,34.4%,29.4%,39.9%,13.6%,24.1%,6.4%,10.8%,4.9%,10.9%,0.0%,0.0%,,,0.1%,1.8%
E14001239,Folkestone and Hythe,Labour,Conservatives,Conservatives,28.33%,33.23%,7.40%,25.02%,5.54%,,,0.49%,,4.9%,,24.7%,32.0%,28.1%,38.3%,4.9%,11.1%,20.7%,29.1%,3.6%,8.6%,0.0%,0.0%,,,0.1%,1.7%
E14001240,Forest of Dean,Labour,Conservatives,Conservatives,28.14%,39.19%,2.99%,19.04%,10.15%,,,0.50%,,11.1%,,24.5%,33.1%,33.1%,43.8%,1.8%,5.3%,14.4%,23.2%,6.8%,14.0%,0.0%,0.0%,,,0.1%,2.4%
E14001241,Frome and East Somerset,Conservatives,Liberal Democrats,Conservatives,28.51%,23.50%,26.45%,14.04%,7.01%,,,0.49%,,2.1%,,24.9%,32.6%,18.5%,28.6%,21.8%,31.8%,10.6%,17.5%,4.9%,9.3%,0.0%,0.0%,,,0.1%,1.6%
E14001242,Fylde,Labour,Conservatives,Conservatives,32.73%,37.53%,6.22%,18.13%,3.92%,,,1.48%,,4.8%,,29.1%,36.2%,31.5%,42.4%,4.1%,9.6%,14.6%,22.4%,2.4%,6.0%,0.0%,0.0%,,,0.5%,3.8%
E14001243,Gainsborough,Conservatives,Labour,Conservatives,32.65%,32.33%,8.46%,23.22%,2.97%,,,0.36%,,0.3%,,28.5%,35.8%,27.5%,37.2%,5.6%,12.2%,19.7%,27.0%,2.0%,4.8%,0.0%,0.0%,,,0.1%,1.0%
E14001244,Gateshead Central and Whickham,Labour,Conservatives,Labour,16.52%,54.51%,7.07%,16.48%,4.91%,,,0.50%,,38.0%,,13.6%,19.0%,49.7%,58.5%,4.4%,10.7%,13.5%,20.5%,3.2%,6.9%,0.0%,0.0%,,,0.1%,2.0%
E14001245,Gedling,Labour,Conservatives,Conservatives,23.21%,46.00%,4.89%,20.60%,4.66%,,,0.63%,,22.8%,,20.0%,26.3%,41.1%,50.6%,3.1%,7.3%,16.9%,24.6%,3.2%,7.0%,0.0%,0.0%,,,0.2%,2.0%
E14001246,Gillingham and Rainham,Labour,Conservatives,Conservatives,28.58%,41.92%,3.64%,21.11%,4.29%,,,0.44%,,13.3%,,24.4%,32.1%,37.5%,46.2%,2.3%,6.5%,17.2%,24.8%,3.0%,6.5%,0.0%,0.0%,,,0.1%,1.4%
E14001247,Glastonbury and Somerton,Liberal Democrats,Conservatives,Conservatives,32.40%,5.75%,41.13%,17.07%,3.65%,,,0.00%,,8.7%,,28.0%,35.8%,2.4%,10.2%,35.7%,46.8%,13.8%,21.1%,2.2%,5.8%,0.0%,0.0%,,,0.0%,0.0%
E14001248,Gloucester,Labour,Conservatives,Conservatives,26.84%,42.86%,7.16%,18.29%,4.02%,,,0.82%,,16.0%,,23.1%,30.4%,37.9%,47.2%,4.5%,11.2%,14.3%,22.5%,2.7%,6.5%,0.0%,0.0%,,,0.2%,2.9%
E14001249,Godalming and Ash,Liberal Democrats,Conservatives,Conservatives,29.01%,8.53%,47.55%,11.75%,2.86%,,,0.30%,,18.5%,,24.8%,32.8%,4.1%,13.3%,41.8%,52.3%,9.3%,14.5%,1.9%,4.4%,0.0%,0.0%,,,0.1%,1.1%
E14001250,Goole and Pocklington,Conservatives,Labour,Conservatives,33.33%,33.25%,6.49%,22.47%,4.08%,,,0.38%,,0.1%,,28.6%,37.4%,27.7%,38.5%,3.8%,9.9%,18.1%,26.9%,2.6%,6.4%,0.0%,0.0%,,,0.1%,1.4%
E14001251,Gorton and Denton,Labour,Reform UK,Labour,7.21%,66.44%,4.89%,14.42%,5.31%,,,1.73%,,52.0%,,5.5%,8.9%,61.0%,70.7%,2.9%,8.6%,11.4%,17.0%,3.2%,7.8%,0.0%,0.0%,,,0.5%,4.2%
E14001252,Gosport,Conservatives,Reform UK,Conservatives,32.88%,24.89%,11.80%,25.28%,4.46%,,,0.67%,,7.6%,,28.5%,36.3%,19.6%,29.9%,8.5%,16.6%,21.6%,29.5%,2.9%,6.5%,0.0%,0.0%,,,0.2%,1.9%
E14001253,Grantham and Bourne,Conservatives,Labour,Conservatives,35.60%,30.26%,6.95%,20.60%,4.65%,,,1.94%,,5.3%,,31.6%,39.6%,25.7%,34.9%,4.8%,9.6%,16.3%,24.1%,3.2%,6.7%,0.0%,0.0%,,,0.8%,4.1%
E14001254,Gravesham,Labour,Conservatives,Conservatives,32.97%,38.42%,5.23%,19.60%,3.79%,,,0.00%,,5.4%,,29.0%,36.6%,33.7%,44.0%,3.2%,8.2%,15.4%,23.6%,2.6%,5.8%,0.0%,0.0%,,,0.0%,0.0%
E14001255,Great Grimsby and Cleethorpes,Labour,Reform UK,Conservatives,24.43%,42.18%,4.09%,24.62%,3.98%,,,0.71%,,17.6%,,21.0%,28.1%,37.6%,46.5%,2.5%,7.3%,20.3%,28.9%,2.4%,5.9%,0.0%,0.0%,,,0.2%,2.7%
E14001256,Great Yarmouth,Labour,Conservatives,Conservatives,30.68%,34.53%,3.12%,25.32%,6.07%,,,0.28%,,3.9%,,27.6%,33.6%,31.2%,38.6%,1.9%,4.6%,22.0%,28.7%,4.1%,8.4%,0.0%,0.0%,,,0.1%,0.8%
E14001257,Greenwich and Woolwich,Labour,Conservatives,Labour,13.10%,64.64%,7.09%,7.42%,6.77%,,,0.97%,,51.5%,,10.4%,15.8%,59.4%,68.4%,4.3%,11.4%,5.7%,9.4%,4.3%,10.1%,0.0%,0.0%,,,0.2%,3.2%
